#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTNAME811100;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;x
EVTDESC811109;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;The restoration of the British Monarchy to the throne closes a shameful chapter in the Empire's history, but the event has re-ignited the debate over our country's future. Shall we reconcile with the old Empire, or hold onto our freedom?;x
EVTOPTA811109;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;Let us take our rightful place as a Dominion;x
EVTOPTB811109;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;No! We must go our own way in the world;x
EVTNAME811110;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;Ideological Differences;x
EVTDESC811110;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;As of late, serious ideological rifts have begun to appear between our country's government and Britain's. Whispered criticisms and polite words between diplomats are threatening to escalate into a full-blown schism. Some within our administration believe that we should use these ideological disagreements as leverage in order to push for full independence.;x
EVTOPTA811110;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;We cannot abide these differences any more!;x
EVTOPTB811110;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;No, let us come around to their point of view;x
EVTNAME811111;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;Severing Constitutional Ties;x
EVTDESC811111;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;Now that $COUNTRY$ is an independent nation, our executive has drafted changes to the constitution which will remove references to the British Crown and create a new office for a local head of state. These changes are necessary to finalise our transformation into a fully sovereign republic.;x
EVTOPTA811111;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;x
EVTNAME811150;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;A New Constitution;x
EVTDESC811150;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;Having accepted Britain's demand for administrative reform, we must now make the necessary alterations to the $COUNTRY_ADJ$ constitution.;x
EVTOPTA811150;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;Sign the changes into law;x
british_monarchy_in_exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;British Monarchy in Exile;x
desc_british_monarchy_in_exile;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;We host the government and monarchy of the United Kingdom in exile.;x
balfour_declaration_1926_title;The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);The Balfour Declaration (1926);x
balfour_declaration_1926_desc;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;The former colonies, now Dominions, are agitating for greater autonomy and recognition on the world stage. This declaration will proclaim the United Kingdom and the dominions to be equals in external affairs, united by their allegiance to a common Crown rather than by the supremacy and paramountcy of the United Kingdom and its Parliament. The dominions hope this will lead to their full legislative sovereignty in the future.;x
adopt_statute_of_westminster_title;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;Adopt the Statute of Westminster;x
adopt_statute_of_westminster_desc;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;The Statute of Westminster enables us to amend or repeal Imperial legislation applying to our dominion, prevents Imperial law from automatically extending to our territory, and repeals the doctrine of repugnancy whereby Imperial laws prevail over conflicting dominion laws.  All future laws passed in the British Parliament will apply to us at our request and with our consent. However, we must officially ratify the Statute for it to apply to our country.;x
EVTNAME811112;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;Balfour Declaration on the Status of the Dominions;x
EVTDESC811112;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;“They are autonomous Communities within the British Empire, equal in status, in no way subordinate one to another in any aspect of their domestic or external affairs, though united by a common allegiance to the Crown, and freely associated as members of the British Commonwealth of Nations.”\n\nBy this declaration $COUNTRY$ becomes a free Commonwealth realm, with the de facto power to conduct autonomous external affairs.;x
EVTOPTA811112;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;For the Commonwealth!;x
EVTNAME811113;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;The Statute of Westminster $YEAR$;x
