;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_of_nation_desc;The time has come, President, to address our nation. We will let them understand the problems and victories that we have seen, and how we will face the coming years. Let freedom ring, and let other nations see the strength of our beloved democracy!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT187750DESC;The Gulf of Mexico is no stranger to extreme wind and rain, but in 1900, a certain hurricane blew away any old records. The storm decimated Galveston, Texas, and reached the Canadian Maritimes before dissipating completely. In cost of lives and money, few other disasters can compare, and this is an especially heavy blow for the coastal areas of the Gulf and Texas.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT187760DESC;A man going by the name of Doctor Howard Henry Holmes has been apprehended and executed after murdering up to two-hundred people after the last $COUNTRY_ADJ$ World's Fair. According to police reports, he built up a so-called "Murder Castle" in $CAPITAL$, killing primarily young women that he lured to his lair. Using legitimate medical contacts he was able to dispose of the bodies, and for a long time he remained far out of suspicion. Only after leaving the city due to economic troubles did Holmes end up being captured, as a result of alleged horse theft. Afterwards the truth of his grisly crimes came to light, and he was sentenced to death.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSFLOOD1DESC;Along the Missouri River and the Upper Mississippi, heavy rainfall and inadequate preparation have led to major floods, the worst in decades. With the increasing population of $COUNTRY$ especially in the areas around the Mississippi and its tributaries, it is becoming increasingly important to develop a set of levees and ditches to prevent high water from wiping out whole towns.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSFLOOD2DESC;Not long after last decade's horrendous floods along the Upper Mississippi, there has been another year of rain and subsequent floods along the very same Mississippi River. We had prepared and made sure riverside towns were prepared for any threat of flooding, but this time the floods hit mostly rural and new colonial towns, which hadn't yet managed to create systems of levees to cope with rising water levels.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSFLOOD3DESC;The worst floods yet have hit many of our cities, no matter how high we built the levees nor how low and long we dug the ditches. New Orleans, shining gem of Louisiana, has been dealt a heavy blow, along with cities and regions all along the mighty Mississippi River. Even modern technology could not save us, and so we can only pray that something of this scale never happens again to our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mississippi_flooding_desc;The Mississippi has burst its banks, causing massive devastation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mississippi_flooding;Mississippi River Floods;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAR_ENSLAVE;$ORDER$War of $FIRST$ Enslavement;$ORDER$$FIRST$ guerre d'aggression;$ORDER$$FIRST$er Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;$ORDER$Guerra de $FIRST$ agresión;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ háború;$ORDER$$FIRST$-$SECOND$ válka;;;;;;x;;;;
enforce_slavery;Create Slave State;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enforce_slavery_desc;Force the selected country to become a slave state and vassal, in which industry and government will be controlled and regulated based on the needs of the slave economy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWSLAVESTATE;The New Slave State;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT189000DESC;Our country is now a slave state of $FROMCOUNTRY$, and our government now functions solely to operate the mechanisms of the vile slave trade. There is no freedom left in $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA189000;Liberty has been stolen from our country.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLLWEEVILMENACE;A New Menace;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA188100;We are not faced with the lesser of two weevils, that is for sure.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSFLOODTITLE;Flood on the Mississippi!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187750;No man could have prepared for this disaster.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187770;We should have prepared better for this! What happened to those levees?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187774;...the levees weren't strong enough.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187778;I don't think we could have done anything to stop this.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEVILINFEST;Boll Weevil Infestation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFMURDER;Murder at the World's Fair!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187760;What kind of twisted madman would do this?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALVESTONTITLE;Galveston Hurricane;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FATHERCONSTITUTION;Father of the Constitution;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187740;This man helped make our nation, and he will be missed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYDRAFTRIOTS;New York Draft Riots;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187730;We cannot afford to have soldiers put down these riots. Let them end themselves.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB187730;Send in the troops. We won't let civilians ruin our war effort.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTOWNFLOOD;Flood in Johnstown!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187720;Force the dam owners to pay reparations to any survivors.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB187720;Hold the dam owners blameless. This was an act of God, not a liability.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNERPARTY;The Donner Party;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187710;How could such horror occur in our country?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USACENTENNIAL;One Hundred Years of Freedom!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187700;Let all Americans celebrate our nation's centennial!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRATITLE;The National Rifle Association;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187690;These clubs will help the sorry state of our army, and win us prestige.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB187690;Shut them down. If they want arms, let them become soldiers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERNHSPT;Southern Hospitality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187680;Treat all our own people like family.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB187680;Open our arms to our neighbours, and bring them into our home.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARDIGRASTITLE;Festival of Mardi Gras;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187670;Let the good times roll!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWORLEANSTITLE;La Nouvelle-Orleans;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187665;Long live the jewel of the South!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESBABYBLUES;Rise of the Blues;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187650;Nothing important will come out of this new music.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAGTIMENJAZZ;Ragtime and Jazz;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187640;What kind of backwards noise is this?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRALTIMEZONE;Standard Time Adopted;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187630;I reckon this just came right on time.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARNUMPARTYTENT;The Greatest Show on Earth!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187620;There's a sucker born every minute.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISHAELEVATOR;The Passenger Elevator!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187610;Raise me up, Elisha!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERONIMOSURRENDER;Geronimo Surrenders;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA187100;Finally, we can assimilate them into the Confederate nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAVETRADEEND;An End to the Slave Trade;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC186500;With the abolition of slavery in our country, so too will we block the world's slave trade.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA186500;Slavery is no more, for the good of our nation!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASSLABOUROVER;Mass Labour Outlawed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA186000;We've moved past our old barbaric ways once and for all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAVETRADEOVERBAD;Slave Trade Ended!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA185000;This is an outrage!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWSLAVES;Newly Arrived Slaves;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWSLAVESOPTION;Get them to work.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187800;Britain, the world's leader in enforcing the end of slavery, has caused us a bitter defeat. They have used their political force to demand that we end the practice of slavery in $COUNTRY$, and in our position, there is little that can be done.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187810;$FROMCOUNTRY$ has brought an end to slavery in their country thanks to British diplomacy!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAVEENDBRITISH;Slavery Ended in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187820;With the renegade states at our capital and the White House in ruins, we have no choice but to move the center of our nation to somewhere more secure. We could either make Philadelphia the capital once again, or we could opt to move to Boston, another historically important city.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187830;The Confederate Americans have already pushed into our heartlands, and now they have laid claim to our capital in Mexico City. We have no choice now but to move our administration to Morelia, the Spanish colonial capital from before Mexico's independence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restore_mexican_capital_title;Return to Mexico City;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restore_mexican_capital_desc;At last we have thrown the Confederate Americans out of Mexico! They will not be able to recover from this, and in triumph we must now return our capital to Mexico City. All Confederate claims to our lands are now invalid, thanks to Mexican supremacy!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187840;Our people have taken to singing songs in the streets, protesting the war we're fighting. These songs have gained a lot of traction amongst the populace thanks to our tradition for freedom of speech, but if this goes unchecked the populace might lose all enthusiasm for the war entirely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187850;Long have we had strong ties with the Confederate States of America, and many Dixies find themselves at home here in Brazil. We hope to see even closer ties between our two countries in the future, for mutual benefit.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187860;Long have we had strong ties with Brazil, and many Brazilians find themselves at home here in the Confederate States of America. We hope to see even closer ties between our two countries in the future, for mutual benefit.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csa_brazilian_culture_title;Embrace Brazilian Culture;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
csa_brazilian_culture_desc;The Brazilians have long been our friends, and we should accept them as brothers in our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil_dixie_culture_title;Embrace Dixie Culture;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brazil_dixie_culture_desc;The Dixies of the CSA have long been our friends, and we should accept them as brothers in our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187870;With the loss of our colonies in Hispaniola and Puerto Rico, there really is no point in maintaining slavery in this modernizing world. Rather than a step forward in the name of liberty, this is more or less a formality, but certainly the people won't see the difference.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_female_shortage_DESC;Female children in China are valued less than males, leading to an epidemic of infanticide. Our population will likely suffer due to this.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187880;Historically, Brazil and the Confederate States of America enjoyed warm relations, even during the Civil War. Shall we foster an alliance between these two nations?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freemason_expulsion_modifier;Freemasons Expelled;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freemason_expulsion_modifier_desc;The heretical Freemasons have been removed from the Catholic clergy in Brazil, improving our standing with the people and the Vatican but severely reducing the effectiveness of our clergy for some time.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187890;There are a growing number of Freemasons within Brazilian churches, which is nominally prohibited in Catholicism - they exist most commonly within Lay Fraternities, which are generally charitable organizations chiefly associated with local churches, though technically independent in their operation. Historically, however, the church in Brazil has been an apparatus of the state, rather than being independent, thus making religious issues in Brazil matters of the state, not the Catholic Church. Local bishops have been calling for Freemason clergymen to resign, including a man named Dom Vital, who has issued an interdict against certain Lay Fraternities that have refused to have their Freemason brothers resign, preventing any sacraments from being celebrated within these Fraternity buildings. This goes against the state control of the Church, so the Lay brothers say, and is a direct challenge to government power considering that certain members of Parliament are noted Freemasons.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187892;Dom Vidal has refused to annul his controversial interdict, and has been joined in protest by the bishop Antonio de Macedo Costa, who has recently passed a similar interdict against uncooperative Lay Fraternities. This refusal could be used as a reason to arrest and imprison the bishops, hopefully preventing them from causing more trouble in the future, and to remove them as challenges to the authority of the state.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187894;Vidal and Costa have been imprisoned for acting against the power of the sovereign Brazilian state, causing shock and anger amongst the Catholic populace in the country. The New Prime Minister, a Freemason and a Catholic himself, has called for his own resignation in the case that amnesty is not granted to Costa and Vidal. We have little choice at this point, considering that keeping the bishops in prison would only lead to the government crumbling. It seems we've been dragged into a situation in which we cannot end things positively.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187900;With the Civil War having swung in favour of the Confederate States, there is a growing secessionist movement in the city of New York, with locals calling for New York City to leave the Union and follow its own, independent path. With each passing day this movement gains more popularity, and this certainly will cause a problem in the future.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187901;The inevitable has come to pass. The city of New York has ordered a referendum amongst the people, calling for secession from the United States of America. The results, legitimate or otherwise, show that the people of New York are overwhelmingly in favour of secession, and the city's officials have made it abundantly clear that, should independence be denied, there will be another Civil War at hand.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187902;We are at war for our freedom! This conflict will not be an easy one, but there certainly must be other countries that can aid us in achieving the independence that we need. Shall we seek them out, or face American wrath alone?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187903;Civil war rages in America, and the people of New York City have requested that we aid them in their conflict. If we choose to do so, it may anger people within our own country who seek independence, and certainly the Americans will be less than pleased.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187904;Diplomats from $FROMCOUNTRY$ have declared that their nation is fully in support of New York's independence, and that we can expect to see $FROMCOUNTRY_ADJ$ military and economic aid in the times to come.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYALLYTITLE;$FROMCOUNTRY$ Stands With Us!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC187905;At last, we have earned our independence from the tyranny of the United States. We are free to define our own destiny, to forge the path we choose as we march into the future. May the light of freedom forever shine upon New York!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declaration_independence_ny_title;Declaration of Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
